,法人名,職種,給与情報
1249,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1250,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1251,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1252,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1253,['ローソングループ'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['[ア・パ]時給1,072円～1,340円', '※研修期間(1ヵ月)は時給1,072円', '（研修期間は習熟度により変動）', '新型コロナウイルス関連の支援について', 'ローソンは全店自動釣銭機のレジを導入しています。', 'だからアルバイト自体が初めての方や、', '販売のお仕事が初めての方にも、とってもおすすめのバイト先です！', 'でもコンビニって覚えることが多そう・・', 'そんな不安のある方も安心してください。', '「クルー育成プログラム」が整備されているので、', 'しっかり研修も受けられます。', 'さらに、業務の習得や習熟度に応じて', 'ステップアップできる「クルーランクアップ制度」もあるので、', '自分のランクも分かりやすく、目標も立てやすいですよ。']"
1254,['ローソングループ'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['[ア・パ]時給1,072円～1,340円', '新型コロナウイルス関連の支援について', 'ローソンは全店自動釣銭機のレジを導入しています。', 'だからアルバイト自体が初めての方や、', '販売のお仕事が初めての方にも、とってもおすすめのバイト先です！', 'でもコンビニって覚えることが多そう・・', 'そんな不安のある方も安心してください。', '「クルー育成プログラム」が整備されているので、', 'しっかり研修も受けられます。', 'さらに、業務の習得や習熟度に応じて', 'ステップアップできる「クルーランクアップ制度」もあるので、', '自分のランクも分かりやすく、目標も立てやすいですよ。']"
1255,['ローソングループ'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '[ア・パ]時給1,072円～1,340円', '交通費：全額支給', '新型コロナウイルス関連の支援について', 'ローソンは全店自動釣銭機のレジを導入しています。', 'だからアルバイト自体が初めての方や、', '販売のお仕事が初めての方にも、とってもおすすめのバイト先です！', 'でもコンビニって覚えることが多そう・・', 'そんな不安のある方も安心してください。', '「クルー育成プログラム」が整備されているので、', 'しっかり研修も受けられます。', 'さらに、業務の習得や習熟度に応じて', 'ステップアップできる「クルーランクアップ制度」もあるので、', '自分のランクも分かりやすく、目標も立てやすいですよ。']"
1256,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['昇給あり', '[ア・パ]時給1,072円～1,340円', '※高校生時給1072円／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', 'バイトを始める時は色んな不安がありますよね。', '知らない場所だったり、した事のないお仕事だったり…', 'セブン-イレブンならそんな心配はいりません。', '初めてのアルバイトでも、', 'マニュアルがきっちりしているので安心してください。', 'もちろんブランクのある方や、経験を活かして働きたいという方も活躍できる環境ですよ！']"
1257,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['[ア・パ]時給1,080円～1,350円', '※高校生時給1080円～／研修期間（5日間または14日間）は時給1072円～／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', 'バイトを始める時は色んな不安がありますよね。', '知らない場所だったり、した事のないお仕事だったり…', 'セブン-イレブンならそんな心配はいりません。', '初めてのアルバイトでも、', 'マニュアルがきっちりしているので安心してください。', 'もちろんブランクのある方や、経験を活かして働きたいという方も活躍できる環境ですよ！']"
1258,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,072円～1,340円', '交通費：一部支給', '規定内支給', '※研修期間（5日間）も時給は変わりません', '新型コロナウイルス関連の支援について', '家庭と両立するなら「短い時間でも大丈夫か」', '「シフトは柔軟に相談できるか？」', 'ということが気になりますよね。', 'セブン-イレブンでは', '短時間シフトで働く主婦さんも多く活躍中。', 'また「お母さんじゃない自分」を感じられる瞬間がある。', 'というお話が印象的でした。', '理想のスケジュールでやりがいを持って働ける職場だと思うので、ぜひチャレンジしてみてください。']"
1259,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,100円～1,375円', '交通費：全額支給', '※高校生時給1080円／研修期間（30日間）は時給1080円～／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', 'セブン‐イレブンで働く学生さんに話を聞くと、', '一番の決め手は働く時間の選択肢が多い事でした。', '飲食店などのお仕事と違って営業時間も長いので自分の生活に合わせて働けて、', '基本的に土日祝も営業をしているので、時間も曜日も自由にシフトを選ぶ事が出来ます。', '勉強や友人、趣味の時間を大事にしたいけど、', 'アルバイトでしっかりお金も稼ぎたい。', '平日は学校やメインの事を頑張って土日祝しっかり働く！なんて事も出来ると思います。', 'セブン-イレブンはそんな働き方を実現出来る職場です！']"
1260,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['昇給あり', '[ア・パ]時給1,080円～1,350円', '※高校生時給1080円～', '新型コロナウイルス関連の支援について', 'バイトを始める時は色んな不安がありますよね。', '知らない場所だったり、した事のないお仕事だったり…', 'セブン-イレブンならそんな心配はいりません。', '初めてのアルバイトでも、', 'マニュアルがきっちりしているので安心してください。', 'もちろんブランクのある方や、経験を活かして働きたいという方も活躍できる環境ですよ！']"
1261,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,072円～1,340円', '交通費：一部支給', '規定内支給', '※高校生時給1072円／研修期間（7日間）は時給1072円～', '新型コロナウイルス関連の支援について', 'セブン-イレブンは夢の実現に向けて頑張る人を応援する職場です。', 'シフトの相談にのってもらえるので、', '自分のやりたい事との両立がしやすい働き方を実現できます。', '夢や目標を持った人がたくさん働いているので、', '同じ夢を志す人と出会えるかもしれないのも魅力の1つだと思います。']"
1262,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,100円～1,350円', '交通費：一部支給', '規定内支給', '※高校生時給1100円～／研修期間（14日間）は時給1072円', '新型コロナウイルス関連の支援について', 'セブン-イレブンは夢の実現に向けて頑張る人を応援する職場です。', 'シフトの相談にのってもらえるので、', '自分のやりたい事との両立がしやすい働き方を実現できます。', '夢や目標を持った人がたくさん働いているので、', '同じ夢を志す人と出会えるかもしれないのも魅力の1つだと思います。']"
1263,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,100円～1,375円', '交通費：全額支給', '※高校生時給1100円／22時～翌5時は深夜割増（25％）あり', '新型コロナウイルス関連の支援について', 'バイトを始める時は色んな不安がありますよね。', '知らない場所だったり、した事のないお仕事だったり…', 'セブン-イレブンならそんな心配はいりません。', '初めてのアルバイトでも、', 'マニュアルがきっちりしているので安心してください。', 'もちろんブランクのある方や、経験を活かして働きたいという方も活躍できる環境ですよ！']"
1264,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['[ア・パ]時給1,172円～1,340円', '※研修期間（7日間または10日間）は時給1072円～', '新型コロナウイルス関連の支援について', 'セブン‐イレブンで働く学生さんに話を聞くと、', '一番の決め手は働く時間の選択肢が多い事でした。', '飲食店などのお仕事と違って営業時間も長いので自分の生活に合わせて働けて、', '基本的に土日祝も営業をしているので、時間も曜日も自由にシフトを選ぶ事が出来ます。', '勉強や友人、趣味の時間を大事にしたいけど、', 'アルバイトでしっかりお金も稼ぎたい。', '平日は学校やメインの事を頑張って土日祝しっかり働く！なんて事も出来ると思います。', 'セブン-イレブンはそんな働き方を実現出来る職場です！']"
1265,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['昇給あり', '[ア・パ]時給1,100円', '※高校生時給1100円／研修期間（30日間）は時給1072円', '新型コロナウイルス関連の支援について', '新しいお店でみんなで一緒にスタート！', '仕事の内容も覚える事がたくさんあって大変なイメージを、', '持っている方もいるかもしれませんが、', 'マニュアルがきっちりしているので安心してください。', '新しい環境で、新たにスタートを切りたいという方におススメですよ！']"
1266,['7-ELEVEN'],"['近くて便利セブン-イレブン', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '昇給あり', '[ア・パ]時給1,100円～1,350円', '交通費：一部支給', '規定内支給', '※高校生時給1100円～／研修期間（5日間）も時給は変わりません', '新型コロナウイルス関連の支援について', 'バイトを始める時は色んな不安がありますよね。', '知らない場所だったり、した事のないお仕事だったり…', 'セブン-イレブンならそんな心配はいりません。', '初めてのアルバイトでも、', 'マニュアルがきっちりしているので安心してください。', 'もちろんブランクのある方や、経験を活かして働きたいという方も活躍できる環境ですよ！']"
1267,['シェアフル株式会社'],"['コンビニ', '[ア・パ]デリ・惣菜販売・スイーツ販売、レジ打ち、品出し(ピッキング)']","['交通費有', '日払い', '週払い', '扶養控除内', '給与手渡し', '[ア・パ]時給1,072円～', '交通費：一部支給', '※規定内支給', '（お仕事により異なる）', '◆高時給の案件多数♪', '※お仕事により異なる', '日払い・週払い・月払いなどは', '就業先に準じます。']"
1268,['シェアフル株式会社'],"['コンビニ', '[ア・パ]デリ・惣菜販売・スイーツ販売、レジ打ち、品出し(ピッキング)']","['交通費有', '日払い', '週払い', '扶養控除内', '給与手渡し', '[ア・パ]時給1,100円～', '交通費：一部支給', '※規定内支給', '（お仕事により異なる）', '◆高時給の案件多数♪', '※お仕事により異なる', '日払い・週払い・月払いなどは', '就業先に準じます。']"
1269,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1270,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1271,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1272,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1273,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1274,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1275,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1276,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1277,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1550円（高校生：時給1500円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1550円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1278,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,100円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1100円～（高校生：時給1080円～）', '・22時以降：時給1375円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1279,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1280,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1281,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1282,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
1283,['まいばすけっと株式会社'],"['コンビニ', '[ア・パ]レジ打ち、品出し(ピッキング)、販売その他']","['交通費有', '扶養控除内', 'Raise', 'The', 'Salary', '[ア・パ]時給1,090円～', '交通費：一部支給', '店舗～自宅間（2km以上の場合）の交通費を最短距離で実費支給。', '・開店時間～9時：時給1250円（高校生：時給1200円）', '・9時～22時：時給1090円～（高校生：時給1080円～）', '・22時以降：時給1365円', '※日・祝は時給50円UP', '※17時～22時は時給50円UP（高校生は時給30円UP）', '※時給は、勤務時間に準ずる。', '新型コロナウイルス関連の支援について', 'まいばすけっとは', 'レジ業務、品出し、清掃など', 'シンプルな仕事がメイン。', 'その上、研修センターもあるので', 'お店に初出勤する前に', 'しっかり教えてもらう事ができます。', '実はディップさんの友だち、', '高校1年～10年ほど勤務してるんです。', 'さらに！最近ディップさんの妹も', 'まいばすけっとでアルバイトをスタート。', '楽しそうに働く2人の姿をみて、', 'いい環境なんだな～と感じたよ。']"
